Salle,Date,Nom,Description,Valeur
Secreteriat,"13-01-2023 14:42:53",temp,,20
Secreteriat,"13-01-2023 14:27:49",co2,,400
Secreteriat,"13-01-2023 14:27:49",hum,,62.6
Secreteriat,"13-01-2023 14:27:49",temp,,20
Secreteriat,"13-01-2023 14:12:45",co2,,400
Secreteriat,"13-01-2023 14:12:45",hum,,62.2
Secreteriat,"13-01-2023 14:12:45",temp,,20
Secreteriat,"13-01-2023 13:57:42",co2,,400
Secreteriat,"13-01-2023 13:57:42",hum,,63.2
Secreteriat,"13-01-2023 13:57:42",temp,,20.6
Secreteriat,"13-01-2023 13:42:38",co2,,610
Secreteriat,"13-01-2023 13:42:38",hum,,66.7
Secreteriat,"13-01-2023 13:42:38",temp,,20.9
Secreteriat,"13-01-2023 13:27:33",co2,,602
Secreteriat,"13-01-2023 13:27:33",hum,,66.2
Secreteriat,"13-01-2023 13:27:33",temp,,20.9
Secreteriat,"13-01-2023 13:12:29",co2,,557
Secreteriat,"13-01-2023 13:12:29",hum,,65.3
Secreteriat,"13-01-2023 13:12:29",temp,,21
Secreteriat,"13-01-2023 12:57:25",co2,,580
Secreteriat,"13-01-2023 12:57:25",hum,,65.1
Secreteriat,"13-01-2023 12:57:25",temp,,21.2
Secreteriat,"13-01-2023 12:42:21",co2,,667
Secreteriat,"13-01-2023 12:42:21",hum,,65.7
Secreteriat,"13-01-2023 12:42:21",temp,,21.4
Secreteriat,"13-01-2023 12:27:17",co2,,658
Secreteriat,"13-01-2023 12:27:17",hum,,64.5
Secreteriat,"13-01-2023 12:27:17",temp,,21.6
Secreteriat,"13-01-2023 12:12:13",co2,,634
Secreteriat,"13-01-2023 12:12:13",hum,,63
Secreteriat,"13-01-2023 12:12:13",temp,,22
Secreteriat,"13-01-2023 11:57:09",co2,,744
Secreteriat,"13-01-2023 11:57:09",hum,,63.8
Secreteriat,"13-01-2023 11:57:09",temp,,22.3
Secreteriat,"13-01-2023 11:42:05",co2,,765
Secreteriat,"13-01-2023 11:42:05",hum,,64.2
Secreteriat,"13-01-2023 11:42:05",temp,,22.4
Secreteriat,"13-01-2023 11:27:01",co2,,753
Secreteriat,"13-01-2023 11:27:01",hum,,63.4
Secreteriat,"13-01-2023 11:27:01",temp,,22.3
Secreteriat,"13-01-2023 11:11:56",co2,,746
Secreteriat,"13-01-2023 11:11:56",hum,,64.6
Secreteriat,"13-01-2023 11:11:56",temp,,22.2
Secreteriat,"13-01-2023 10:56:52",co2,,760
Secreteriat,"13-01-2023 10:56:52",hum,,65.4
Secreteriat,"13-01-2023 10:56:52",temp,,22
Secreteriat,"13-01-2023 10:41:48",co2,,816
Secreteriat,"13-01-2023 10:41:48",hum,,65.6
Secreteriat,"13-01-2023 10:41:48",temp,,22
Secreteriat,"13-01-2023 10:26:44",co2,,775
Secreteriat,"13-01-2023 10:26:44",hum,,65.8
Secreteriat,"13-01-2023 10:26:44",temp,,21.8
Secreteriat,"13-01-2023 10:11:40",co2,,735
Secreteriat,"13-01-2023 10:11:40",hum,,66.3
Secreteriat,"13-01-2023 10:11:40",temp,,21.7
Secreteriat,"13-01-2023 09:56:35",co2,,778
Secreteriat,"13-01-2023 09:56:35",hum,,67.9
Secreteriat,"13-01-2023 09:56:35",temp,,21.7
Secreteriat,"13-01-2023 09:41:31",co2,,938
Secreteriat,"13-01-2023 09:41:31",hum,,69.7
Secreteriat,"13-01-2023 09:41:31",temp,,21.5
Secreteriat,"13-01-2023 09:26:27",co2,,823
Secreteriat,"13-01-2023 09:26:27",hum,,68.5
Secreteriat,"13-01-2023 09:26:27",temp,,21.3
Secreteriat,"13-01-2023 09:11:23",co2,,680
Secreteriat,"13-01-2023 09:11:23",hum,,68.2
Secreteriat,"13-01-2023 09:11:23",temp,,21
Secreteriat,"13-01-2023 08:56:19",co2,,623
Secreteriat,"13-01-2023 08:56:19",hum,,67.8
Secreteriat,"13-01-2023 08:56:19",temp,,20.5
Secreteriat,"13-01-2023 08:41:15",co2,,503
Secreteriat,"13-01-2023 08:41:15",hum,,67.8
Secreteriat,"13-01-2023 08:41:15",temp,,20.1
Secreteriat,"12-01-2023 12:04:08",co2,,453
Secreteriat,"12-01-2023 12:04:08",hum,,63.7
Secreteriat,"12-01-2023 12:04:08",temp,,22.3
Secreteriat,"12-01-2023 11:49:04",co2,,400
Secreteriat,"12-01-2023 11:49:04",hum,,62.6
Secreteriat,"12-01-2023 11:49:04",temp,,22.2
Secreteriat,"12-01-2023 11:34:00",co2,,400
Secreteriat,"12-01-2023 11:34:00",hum,,63.2
Secreteriat,"12-01-2023 11:34:00",temp,,22.2
Secreteriat,"12-01-2023 11:18:56",co2,,400
Secreteriat,"12-01-2023 11:18:56",hum,,63.4
Secreteriat,"12-01-2023 11:18:56",temp,,22
Secreteriat,"12-01-2023 11:03:52",co2,,505
Secreteriat,"12-01-2023 11:03:52",hum,,63.7
Secreteriat,"12-01-2023 11:03:52",temp,,21.9
Secreteriat,"12-01-2023 10:48:48",co2,,464
Secreteriat,"12-01-2023 10:48:48",hum,,64
Secreteriat,"12-01-2023 10:48:48",temp,,21.8
Secreteriat,"12-01-2023 10:33:44",co2,,435
Secreteriat,"12-01-2023 10:33:44",hum,,63.9
Secreteriat,"12-01-2023 10:33:44",temp,,21.7
Secreteriat,"12-01-2023 10:18:40",co2,,411
Secreteriat,"12-01-2023 10:18:40",hum,,63.7
Secreteriat,"12-01-2023 10:18:40",temp,,21.5
Secreteriat,"12-01-2023 10:03:36",co2,,450
Secreteriat,"12-01-2023 10:03:36",hum,,65.3
Secreteriat,"12-01-2023 10:03:36",temp,,21.3
Secreteriat,"12-01-2023 04:57:35",co2,,400
Secreteriat,"12-01-2023 04:57:35",hum,,65.8
Secreteriat,"12-01-2023 04:57:35",temp,,19.7
Secreteriat,"12-01-2023 04:42:32",co2,,400
Secreteriat,"12-01-2023 04:42:32",hum,,65.9
Secreteriat,"12-01-2023 04:42:32",temp,,19.7
Secreteriat,"12-01-2023 04:27:28",co2,,400
Secreteriat,"12-01-2023 04:27:28",hum,,65.9
Secreteriat,"12-01-2023 04:27:28",temp,,19.7
Secreteriat,"12-01-2023 04:12:25",co2,,400
Secreteriat,"12-01-2023 04:12:25",hum,,66
Secreteriat,"12-01-2023 04:12:25",temp,,19.8
Secreteriat,"12-01-2023 03:57:21",co2,,400
Secreteriat,"12-01-2023 03:57:21",hum,,66
Secreteriat,"12-01-2023 03:57:21",temp,,19.8
Secreteriat,"12-01-2023 03:42:18",co2,,400
Secreteriat,"12-01-2023 03:42:18",hum,,66
Secreteriat,"12-01-2023 03:42:18",temp,,19.8
Secreteriat,"12-01-2023 03:27:14",co2,,400
Secreteriat,"12-01-2023 03:27:14",hum,,66.1
Secreteriat,"12-01-2023 03:27:14",temp,,19.8
Secreteriat,"12-01-2023 03:12:11",co2,,400
Secreteriat,"12-01-2023 03:12:11",hum,,66.1
Secreteriat,"12-01-2023 03:12:11",temp,,19.8
Secreteriat,"12-01-2023 02:57:07",co2,,400
Secreteriat,"12-01-2023 02:57:07",hum,,66.1
Secreteriat,"12-01-2023 02:57:07",temp,,19.9
Secreteriat,"12-01-2023 02:42:03",co2,,400
Secreteriat,"12-01-2023 02:42:03",hum,,66.2
Secreteriat,"12-01-2023 02:42:03",temp,,19.9
Secreteriat,"12-01-2023 02:27:00",co2,,400
Secreteriat,"12-01-2023 02:27:00",hum,,66.2
Secreteriat,"12-01-2023 02:27:00",temp,,19.9
Secreteriat,"12-01-2023 02:11:56",co2,,400
Secreteriat,"12-01-2023 02:11:56",hum,,66.2
Secreteriat,"12-01-2023 02:11:56",temp,,19.9
Secreteriat,"12-01-2023 01:56:53",co2,,400
Secreteriat,"12-01-2023 01:56:53",hum,,66.3
Secreteriat,"12-01-2023 01:56:53",temp,,19.9
Secreteriat,"12-01-2023 01:41:49",co2,,404
Secreteriat,"12-01-2023 01:41:49",hum,,66.3
Secreteriat,"12-01-2023 01:41:49",temp,,20
Secreteriat,"12-01-2023 01:26:45",co2,,400
Secreteriat,"12-01-2023 01:26:45",hum,,66.3
Secreteriat,"12-01-2023 01:26:45",temp,,20
Secreteriat,"12-01-2023 01:11:41",co2,,400
Secreteriat,"12-01-2023 01:11:41",hum,,66.4
Secreteriat,"12-01-2023 01:11:41",temp,,20
Secreteriat,"12-01-2023 00:56:37",co2,,400
Secreteriat,"12-01-2023 00:56:37",hum,,66.3
Secreteriat,"12-01-2023 00:56:37",temp,,20
Secreteriat,"12-01-2023 00:41:33",co2,,400
Secreteriat,"12-01-2023 00:41:33",hum,,66.4
Secreteriat,"12-01-2023 00:41:33",temp,,20.1
Secreteriat,"12-01-2023 00:26:30",co2,,400
Secreteriat,"12-01-2023 00:26:30",hum,,66.5
Secreteriat,"12-01-2023 00:26:30",temp,,20.1
Secreteriat,"12-01-2023 00:11:26",co2,,402
Secreteriat,"12-01-2023 00:11:26",hum,,66.7
Secreteriat,"12-01-2023 00:11:26",temp,,20.1
Secreteriat,"11-01-2023 23:56:22",co2,,403
Secreteriat,"11-01-2023 23:56:22",hum,,66.5
Secreteriat,"11-01-2023 23:56:22",temp,,20.1
Secreteriat,"11-01-2023 23:41:18",co2,,400
Secreteriat,"11-01-2023 23:41:18",hum,,66.6
